customer_id,most_popular_category,relationship_days,total_spend,beverage_categories,segment
WXE7PFKGZX36ND712ANHC8XWWW,snacks,240,230.75,9,explorer
BY7YV2844X2SSEQNYW1WYA6DTR,snacks,218,117.5,3,explorer
GWW5FP9SZH75N18EK7W9E7QP04,wine,139,105.5,4,explorer
BKRM0VPAJ924WKG7G7C6QM3N2R,ipa,748,18,1,cheapo
4RPG96TAH51BRH8ZAX0R7B3CD0,sour,743,404.5,6,loyal core
6VKFMG31956SVEK5YM28YJ923C,sour,111,84,6,newbie
541S69PQXS4JSAZZRQBFAFFG8W,kombucha,139,27,1,newbie
SY0E7JMEV126V647B9X31WZA9R,porters/stouts,890,41,6,cheapo
5G4WW41P950HTM00335TBTBE1G,seasonal/tasting/event,546,295,7,loyal core
TDEW3EYHB57MAP1M32ZSXR1DMM,lagers/pils/wheat,418,23,2,cheapo
G57HCNC2BD7WD4D17TQDKYTE54,lagers/pils/wheat,338,37,2,newbie
QXPWE8HCF91BGPC3BRC1245CWG,sour,603,46.5,5,cheapo
KJ0K5JTYRD3Z0MH0VGZ9P9WB4R,wine,649,439.5,9,loyal core
GA6HV9RC0914MYN43NQB6HC0HG,wheat beers!,627,104.5,8,loyal core
CECYXC7YED6112S9PYFM706MR4,seasonal,105,67,2,newbie
DS32WRT98D1QH75ERNCC5Z4NB0,soda,329,344,10,explorer
P2XQJCJEX55D2ZKHMVJQEG03QM,soda,407,57,6,cheapo
2HYQ869D4N491C73008B654TB4,wine,982,380.75,8,loyal core
PMSZ439YSS1G58JQA3B1S0YQ8G,sour,736,90.5,5,cheapo
C2DM2SX7YS50956KA3XW8H2PDM,wine,187,63,6,newbie
B5ZCRSY5KX5J6Y126C1Y8DKBG4,porters/stouts,542,56.75,4,cheapo
KSC3TZN7CS5JCXCW6Z40P6SV00,wine,645,60,6,cheapo
8CXF7ZNKHN5NRP3V7HXYD3G5XG,zambers/pales,461,167,6,loyal core
76R9QDW0Y92X10SVSD39A5B668,sour,906,41.5,3,cheapo
7CZQ9JR2013K91AKT1VX7ZTVER,lagers/pils/wheat,182,47,2,newbie
5682PY68TH7WD6KANVYVD00ZA4,sour,241,50.25,4,newbie
FYNYR7SNS91PAXXJNTV238X28G,sour,716,250.5,11,loyal core
YDVMDQ5JCD62CN92WY9120AWS4,ipa,155,32.25,4,newbie
W6BJT1830117H3J3C71WA4S6SG,ipa,169,72.5,1,newbie
RWKG8WF3G5064VP2DMV50MACEG,tasting/event,399,194.5,15,loyal core
M3CJ1FE6VH25MM1C153QSJEATC,snacks,412,31,5,cheapo
DH18CYCXCH16EJY2JXXZAQ4558,zambers/pales,688,81,9,cheapo
98JQ6WATKH1QJNNKSGTPJ6MEGG,wine,842,75,5,cheapo
aB32gnlCWQRMKisT,tasting/event,623,62.75,10,cheapo
N1W9F5PJK97CH714YNV25GGQRM,ipa,258,93,2,newbie
T4XGC3CW5S19B9AHV9KPEY4QSG,sour,104,45.5,4,newbie
8G0CSR4NN9615A9MBZB9NM01EM,seasonal/event,108,72,6,newbie
XSNTTABA0D3ZJM44Y6J3K0SNFW,seasonal/tasting/event,153,41,6,newbie
E3PSYPR6H97KH6XWJFBW95KBTM,sour,328,43.5,5,newbie
SRJGXEF4C50HN9H6F57K7NE7DW,wine,404,592.5,13,loyal core
W3AA7JCTYS3XS9FV55PXJHZ1F8,wine,119,157,8,explorer
ATJ99WV05D14EV27RHQNHB30DR,lagers/pils/wheat,552,65.75,4,cheapo
7S3NGRZVE12CRTMCXXM6G5KX9G,seasonal/tasting/event,225,157.25,5,explorer
PW174YPADH2FK4X3GGFTPH5VDW,wine,333,376.5,11,explorer
3QTZJYJ2E14KD3PP5X69CJGGY4,ipa,506,109,4,loyal core
R0V9PSFTNS1R2SW6ZM56MFV8T8,wine,293,60.5,6,newbie
VPPDH0XP3S7AMYP0DCSCR1NTJ8,porters/stouts,326,68.5,4,newbie
7SVGD2GWEX7GB1GYKFN5RMHS7G,wine,121,49.5,3,newbie
SGX0Q4RHC97DF64B5ED862VZYW,sour,498,46,4,cheapo
-BBphb6xAPqaBKBP,wine,811,83.5,6,cheapo
G2T9ZVWZQX3ZEWNJZT57569ZPR,sour,429,45,2,cheapo
2DRSETQ9TD5AEYZD2AMQXJV6X4,wheat beers!,318,519.5,20,explorer
W6K4MK6P1N42RK97A91V4S5A74,soda,830,121.5,8,loyal core
3RBMA4CVJX3CX8MTQXP4Q906ZC,sour,120,28,2,newbie
8822PJYTWD0HGWKXVXQX52MSF0,tasting/event,223,67.5,3,newbie
PRERRSHT2H5V13SXCMXM43B34W,seasonal,465,339,5,loyal core
"NAV050SR256CV2X7AMVN5KZF0G",snacks,331,51.5,3,newbie
7A8RDYF23D53CTQE948RXBB6M0,wine,553,165,11,loyal core
XEWYRE8GK179WRC1SZ35JZ658M,sour,118,165,8,explorer
